id,code_insee,mjo,annee_semaine
VEL024,59009.0,55.0,2014_25
VEL027,59636.0,55.0,2014_25
VEL028,59350.0,913.0,2014_25
VEL039,59410.0,274.0,2014_25
VEL001,59017.0,124.0,2014_26
VEL002,59090.0,186.0,2014_26
VEL003,59128.0,80.0,2014_26
VEL004,59152.0,263.0,2014_26
VEL005,59163.0,369.0,2014_26
VEL006,59256.0,102.0,2014_26
VEL007,59286.0,224.0,2014_26
VEL008,59303.0,49.0,2014_26
VEL012,59350.0,1527.0,2014_26
VEL014,59350.0,1037.0,2014_26
VEL016,59355.0,358.0,2014_26
VEL017,59508.0,155.0,2014_26
VEL018,59512.0,132.0,2014_26
VEL019,59512.0,142.0,2014_26
VEL021,59560.0,187.0,2014_26
VEL022,59599.0,113.0,2014_26
VEL023,59599.0,156.0,2014_26
VEL024,59009.0,56.0,2014_26
VEL027,59636.0,69.0,2014_26
VEL028,59350.0,902.0,2014_26
VEL039,59410.0,317.0,2014_26
VEL001,59017.0,124.0,2014_27
VEL002,59090.0,171.0,2014_27
VEL003,59128.0,92.0,2014_27
VEL004,59152.0,274.0,2014_27
VEL005,59163.0,477.0,2014_27
VEL006,59256.0,112.0,2014_27
VEL007,59286.0,213.0,2014_27
VEL008,59303.0,60.0,2014_27
VEL012,59350.0,1471.0,2014_27
VEL014,59350.0,1020.0,2014_27
VEL016,59355.0,383.0,2014_27
VEL017,59508.0,158.0,2014_27
VEL018,59512.0,139.0,2014_27
VEL019,59512.0,142.0,2014_27
VEL021,59560.0,183.0,2014_27
VEL022,59599.0,128.0,2014_27
VEL023,59599.0,180.0,2014_27
VEL024,59009.0,59.0,2014_27
VEL027,59636.0,85.0,2014_27
VEL028,59350.0,1176.0,2014_27
VEL039,59410.0,341.0,2014_27
VEL028,59350.0,723.0,2014_28
VEL028,59350.0,697.0,2014_29
VEL028,59350.0,697.0,2014_30
VEL028,59350.0,697.0,2014_31
VEL028,59350.0,688.0,2014_32
VEL028,59350.0,697.0,2014_33
VEL028,59350.0,697.0,2014_34
VEL028,59350.0,697.0,2014_35
VEL001,59017.0,129.0,2014_36
VEL002,59090.0,159.0,2014_36
VEL003,59128.0,64.0,2014_36
VEL004,59152.0,222.0,2014_36
VEL005,59163.0,345.0,2014_36
VEL006,59256.0,87.0,2014_36
VEL007,59286.0,208.0,2014_36
VEL008,59303.0,45.0,2014_36
VEL012,59350.0,1465.0,2014_36
VEL014,59350.0,1069.0,2014_36
VEL016,59355.0,260.0,2014_36
VEL017,59508.0,142.0,2014_36
VEL018,59512.0,128.0,2014_36
VEL019,59512.0,119.0,2014_36
VEL021,59560.0,173.0,2014_36
VEL022,59599.0,110.0,2014_36
VEL023,59599.0,154.0,2014_36
VEL024,59009.0,45.0,2014_36
VEL027,59636.0,78.0,2014_36
VEL028,59350.0,913.0,2014_36
VEL039,59410.0,334.0,2014_36
VEL001,59017.0,116.0,2014_37
VEL002,59090.0,134.0,2014_37
VEL003,59128.0,66.0,2014_37
VEL004,59152.0,228.0,2014_37
VEL005,59163.0,359.0,2014_37
VEL006,59256.0,87.0,2014_37
VEL007,59286.0,212.0,2014_37
VEL008,59303.0,44.0,2014_37
VEL012,59350.0,1609.0,2014_37
VEL014,59350.0,1030.0,2014_37
VEL016,59355.0,262.0,2014_37
VEL017,59508.0,131.0,2014_37
VEL018,59512.0,128.0,2014_37
VEL019,59512.0,138.0,2014_37
VEL021,59560.0,171.0,2014_37
VEL022,59599.0,104.0,2014_37
VEL023,59599.0,169.0,2014_37
VEL024,59009.0,46.0,2014_37
VEL027,59636.0,68.0,2014_37
VEL028,59350.0,913.0,2014_37
VEL039,59410.0,343.0,2014_37
VEL001,59017.0,124.0,2014_38
VEL002,59090.0,122.0,2014_38
VEL003,59128.0,68.0,2014_38
VEL004,59152.0,246.0,2014_38
VEL005,59163.0,360.0,2014_38
VEL006,59256.0,103.0,2014_38
VEL007,59286.0,227.0,2014_38
VEL008,59303.0,51.0,2014_38
VEL012,59350.0,1594.0,2014_38
VEL014,59350.0,1047.0,2014_38
VEL016,59355.0,248.0,2014_38
VEL017,59508.0,132.0,2014_38
VEL018,59512.0,131.0,2014_38
VEL019,59512.0,136.0,2014_38
VEL021,59560.0,174.0,2014_38
VEL022,59599.0,104.0,2014_38
VEL023,59599.0,153.0,2014_38
VEL024,59009.0,49.0,2014_38
VEL027,59636.0,72.0,2014_38
VEL028,59350.0,913.0,2014_38
VEL039,59410.0,331.0,2014_38
VEL001,59017.0,120.0,2014_39
VEL002,59090.0,91.0,2014_39
